Target Page,Target Type,Company/Website,Contact Name,Email/LinkedIn,Relationship,Suggested Message Type,Status,Date Contacted,Link Placed,Link URL,Notes
custom-canopy-tent-manufacturer.html,Buyer,,,,,Custom canopy tent page sharing,Not contacted,,,,Share as a factory product page for printed pop up tents and event tents.
custom-canopy-tent-manufacturer.html,Distributor,,,,,Distributor follow-up message,Not contacted,,,,Use for distributors comparing custom canopy tent options.
beach-flag-supplier.html,Buyer,,,,,Beach flag supplier page sharing,Not contacted,,,,Share as a product reference for custom advertising flags and poles.
beach-flag-supplier.html,Event company,,,,,Supplier / partner reference message,Not contacted,,,,Useful for outdoor branding and retail promotion projects.
portable-display-systems.html,Buyer,,,,,Portable display systems page sharing,Not contacted,,,,Share for backdrops, counters and exhibition display systems.
portable-display-systems.html,Exhibition partner,,,,,Supplier / partner reference message,Not contacted,,,,Useful for trade show booth and event display enquiries.
seg-light-box-manufacturer.html,Buyer,,,,,Light box page sharing,Not contacted,,,,Share for SEG light boxes and illuminated display solutions.
seg-light-box-manufacturer.html,Retail display partner,,,,,Supplier / partner reference message,Not contacted,,,,Useful for retail display and brand promotion projects.
product-detail.html,Buyer,,,,,Individual product detail sharing,Not contacted,,,,Use exact product-detail.html?sku= link for the discussed product.
product-detail.html,Distributor,,,,,Distributor follow-up message,Not contacted,,,,Share specific product page with SKU query for catalogue reference.
